Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2013;SWZ;155;53,24;;;;144;67;-11;Eswatini;Eswatini;Esuatini;إسواتيني;اسواتینی ;Afrique
2013;AZE;156;52,27;;;;162;87,25;6;Azerbaïdjan;Azerbaijan;Azerbaiyán;أذربيجان;آذربایجان;EEAC
2013;BLR;157;51,65;;;;168;99;11;Bélarus;Belarus;Belarús;روسيا البيضاء;روسیه سفید;EEAC
2013;EGY;158;51,34;;;;166;97,5;8;Égypte;Egypt;Egipto;مصر;مصر;MENA
2013;PAK;159;48,69;;;;151;75;-8;Pakistan;Pakistan;Pakistán;باكستان;پاکستان;Asie-Pacifique
2013;KAZ;160;44,92;;;;154;77,5;-6;Kazakhstan;Kazakhstan;Kazajistán;كازاخستان;قزاقستان;EEAC
2013;RWA;161;44,54;;;;156;81;-5;Rwanda;Rwanda;Ruanda;رواندا;روندا;Afrique
2013;LKA;162;43,41;;;;163;87,5;1;Sri Lanka;Sri Lanka;Sri Lanka;سري لانكا;سریلانکا;Asie-Pacifique
2013;SAU;163;43,12;;;;158;83,25;-5;Arabie saoudite;Saudi Arabia;Arabia Saudita;المملكة العربية السعودية;عربستان سعودی;MENA
2013;UZB;164;39,61;;;;157;83;-7;Ouzbékistan;Uzbekistan;Uzbekistán;أوزبكستان;اوزبکستان;EEAC
2013;BHR;165;37,25;;;;173;125;8;Bahreïn;Bahrain;Baréin;البحرين;بحرین;MENA
2013;GNQ;166;32,8;;;;161;86;-5;Guinée équatoriale;Equatorial Guinea;Guinea Ecuatorial;غينيا الاستوائية;گینه اکوادور;Afrique
2013;DJI;167;32,6;;;;160;83,5;-7;Djibouti;Djibouti;Yibuti;جيبوتي;جیبوتی;Afrique
2013;LAO;168;32,01;;;;165;89;-3;Laos;Lao People's Democratic Republic;Laos;لاوس;لائوس;Asie-Pacifique
2013;YEM;169;30,78;;;;171;101;2;Yémen;Yemen;Yemen;اليمن;یمن;MENA
2013;SDN;170;29,94;;;;170;100,75;0;Soudan;Sudan;Sudán;السودان;سودان;Afrique
2013;CUB;171;28,36;;;;167;98,83;-4;Cuba;Cuba;Cuba;كوبا;کوبا;Amériques
2013;VNM;172;28,22;;;;172;114;0;Viêt Nam;Vietnam;Vietnam;فيتنام;ویتنام;Asie-Pacifique
2013;CHN;173;26,93;;;;174;136;1;Chine;China;China;الصين;چین;Asie-Pacifique
2013;IRN;174;26,6;;;;175;136,6;1;Iran;Islamic Republic of Iran;Irán;إيران;ایران;MENA
2013;SOM;175;26,41;;;;164;88,33;-11;Somalie;Somalia;Somalia;الصومال;سومالی;Afrique
2013;SYR;176;21,47;;;;176;138;0;Syrie;Syrian Arab Republic;Siria;سوريا;سوریه;MENA
2013;TKM;177;20,86;;;;177;140,67;0;Turkménistan;Turkmenistan;Turkmenistán;تركمانستان;ترکمنستان;EEAC
2013;PRK;178;16,1;;;;178;141;0;Corée du Nord;Democratic People's Republic of Korea;Corea del Norte;كوريا الشمالية;کره شمالی;Asie-Pacifique
2013;ERI;179;15,17;;;;179;142;0;Érythrée;Eritrea;Eritrea;إريتريا;اریتره;Afrique
